Baros;Rancamanyar;Ciapus;Buahbatu;Ciluncat;Cicalengka Wetan;Cikasungka;Ciporeat;Cileunyi Kulon;Cimaung;Cimenyan;Ciheulang;Nengkelan;Citeureup;Ibun;Gandasari;Cikembang;Cilame;Majakerta;Margaasih;Sayati;Ciherang;Cinanggela;Langonsari;Margaluyu;Cipaku;Cisondari;Indragiri;Cangkuang;Langensari;Pamekaran
Batukarut;Andir;Kamasan;Cipagalo;Jatisari;Cikuya;Ciluluk;Girimekar;Cileunyi Wetan;Cipinang;Mandalamekar;Cikoneng;Panundaan;Dayeuhkolot;Karyalaksana;Katapang;Neglawangi;Gajahmekar;Majalaya;Mekar Rahayu;Sukamenak;Citaman;Cipeujeuh;Rancamulya;Margamekar;Cipedes;Cukanggenteng;Patengan;Haurpugur;Padamukti;Panyirapan
Lebakwangi;Baleendah;Kiangroke;Lengkong;Nagrak;Dampit;Hegarmanah;Jatiendah;Cimekar;Jagabaya;Mekarmanik;Ciparay;Panyocokan;Sukapura;Laksana;Pangauban;Resmitingal;Jatisari;Majasetra;Nanjung;;Ganjarsabar;Girimulya;Rancatungku;Margamukti;Drawati;Margamulya;Sukaresmi;Jelegong;Panyadap;Parungserab
Mangunjaya;Jelekong;Margahurip;Tegalluar;Pananjung;Margaasih;Mandalasari;Melatiwangi;Cinunuk;Malasari;Mekarsaluyu;Gunungleutik;Rawabogo;Pasawahan;Lampegan;Sangkanhurip;Santosa;Jelegong;Neglasari;Rahayu;;Mandalawangi;Mandalahaji;Sukasari;Margamulya;Karangtunggal;Mekarmaju;;Linggar;Rancakasumba;Sadu
Mekarjaya;Manggahang;Mekarjaya;;Tanjungsari;Nagrog;Mekarlaksana;;;Mekarsari;Sindanglaya;Manggungharja;Sukawening;;Mekarwangi;Sukamukti;Sukapura;Kopo;Padamulya;;;Nagreg;Maruyung;;Pangalengan;Loa;Mekarsari;;Nanjungmekar;Solokanjeruk;Sekarwangi
Patrolsari;Wargamekar;Neglasari;;;Narawita;Srirahayu;;;Pasirhuni;Cibeunying;Mekarlaksana;;;Neglasari;;Tarumajaya;Kutawaringin;Padaulun;;;Nagreg Kendan;Mekarjaya;;Pulosari;Mekarpawitan;Pasirjambu;;Rancaekek Kulon;;Soreang
Pinggirsari;;Pasirmulya;;;Panenjoan;Tanjunglaya;;;Sukamaju;Padasuka;Mekarsari;;;Pangguh;;;Padasuka;Sukamaju;;;;Mekarsari;;Sukaluyu;Sindangsari;Sugihmukti;;Rancaekek Wetan;;Sukajadi
Rancakole;;Sindangpanon;;;Tanjungwangi;;;;Warjabakti;;Pakutandang;;;Sudi;;;Pameuntasan;Sukamukti;;;;Nagrak;;Sukamanah;Sukamanah;Tenjolaya;;Sangiang;;Sukanagara
Wargaluyu;;Tarajusari;;;Tenjolaya;;;;;;Sagaracipta;;;Talun;;;Sukamulya;Wangisagara;;;;Pangauban;;Tribaktimulya;Sukamantri;;;Sukamanah;;
;;;;;Waluya;;;;;;Sarimahi;;;Tanggulun;;;;;;;;Sukarame;;Wanasuka;Tangsimekar;;;Sukamulya;;
;;;;;;;;;;;Serangmekar;;;;;;;;;;;Tanjungwangi;;Warnasari;;;;Tegalsumedang;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rancaekek Kencana;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Cimahi;Kota Cimahi;Kota Cimahi;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cimahi Selatan;Cimahi Tengah;Cimahi Utara;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cibeber;Baros;Cibabat;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cibeureum;Cigugur Tengah;Cipageran;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leuwigajah;Cimahi;Citeureup;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melong;Karangmekar;Pasirkaliki;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utama;Padasuka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Setiamanah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;Kabupaten Bandung Barat;;;;;;;;;;;;;;;
Batujajar;Cihampelas;Cikalong Wetan;Cililin;Cipatat;Cipeundeuy;Cipongkor;Cisarua;Gununghalu;Lembang;Ngamprah;Padalarang;Parongpong;Rongga;Saguling;Sindangkerta;;;;;;;;;;;;;;;
